city,year,brand,model,color,body_type,engine,engine_power,fuel_type,kilometrage,transmission,drivetrain,new,price
Bakı,2008,Kia,Ceed,Gümüşü,Universal,1.6 L,115 a.g.,Dizel,237 000 km,Mexaniki,Ön,Xeyr,14 900 AZN
Bakı,2014,Kia,Optima,Ağ,Sedan,2.0 L,274 a.g.,Benzin,196 340 km,Avtomat,Ön,Xeyr,23 000 AZN
Sumqayıt,2008,Kia,Ceed,Yaş Asfalt,Universal,1.4 L,109 a.g.,Benzin,178 000 km,Mexaniki,Ön,Xeyr,14 100 AZN
Sumqayıt,2021,Kia,Rio,Yaş Asfalt,Sedan,1.6 L,123 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,32 000 AZN
Bakı,2014,Kia,Optima,Yaş Asfalt,Sedan,2.0 L,274 a.g.,Benzin,90 000 km,Avtomat,Ön,Xeyr,24 500 AZN
Sumqayıt,2021,Kia,Rio,Ağ,Sedan,1.6 L,123 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,32 000 AZN
Sumqayıt,2021,Kia,Rio,Ağ,Sedan,1.6 L,123 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,29 200 AZN
Bakı,2015,Kia,Optima,Qara,Sedan,2.4 L,180 a.g.,Benzin,108 256 km,Avtomat,Ön,Xeyr,23 400 AZN
Bakı,2013,Kia,Picanto,Qırmızı,Hetçbek / Liftbek,1.3 L,85 a.g.,Benzin,129 500 km,Avtomat,Ön,Xeyr,12 000 AZN
Bakı,2011,Kia,Rio,Ağ,Sedan,1.4 L,107 a.g.,Benzin,275 000 km,Avtomat,Ön,Xeyr,15 500 AZN
Bakı,2011,Kia,Rio,Ağ,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,75 600 km,Avtomat,Ön,Xeyr,14 800 AZN
Bakı,2008,Kia,Sportage,Ağ,Offroader / SUV,2.0 L,140 a.g.,Dizel,130 000 km,Avtomat,Ön,Xeyr,18 800 AZN
Xırdalan,2012,Kia,Rio,Tünd qırmızı,Hetçbek / Liftbek,1.6 L,123 a.g.,Benzin,105 000 km,Avtomat,Ön,Xeyr,15 000 AZN
Bakı,2008,Kia,Ceed,Qara,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,147 000 km,Mexaniki,Ön,Xeyr,12 800 AZN
Bakı,2015,Kia,Carnival,Mavi,Minivan,2.2 L,197 a.g.,Dizel,91 000 km,Avtomat,Ön,Xeyr,45 900 AZN
Bakı,2011,Kia,Sorento,Qara,Offroader / SUV,2.0 L,184 a.g.,Dizel,82 000 km,Avtomat,Ön,Xeyr,29 800 AZN
Bakı,2009,Kia,Sorento,Gümüşü,Offroader / SUV,2.0 L,184 a.g.,Dizel,135 000 km,Avtomat,Ön,Xeyr,24 900 AZN
Bakı,2010,Kia,Rio,Ağ,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,235 000 km,Mexaniki,Ön,Xeyr,13 500 AZN
Bakı,2011,Kia,Sorento,Qara,Offroader / SUV,2.0 L,184 a.g.,Dizel,223 000 km,Avtomat,Arxa,Xeyr,27 300 AZN
Bakı,2013,Kia,Sorento,Qara,Offroader / SUV,2.4 L,175 a.g.,Benzin,119 000 km,Avtomat,Tam,Xeyr,33 500 AZN
Bakı,2009,Kia,Ceed,Yaş Asfalt,Universal,1.4 L,109 a.g.,Benzin,191 000 km,Mexaniki,Ön,Xeyr,13 850 AZN
Bakı,2014,Kia,Optima,Ağ,Sedan,2.0 L,274 a.g.,Benzin,133 000 km,Avtomat,Ön,Xeyr,24 300 AZN
Bakı,2006,Kia,Ceed,Boz,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,156 000 km,Mexaniki,Ön,Xeyr,13 600 AZN
Bakı,2014,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,90 000 km,Avtomat,Ön,Xeyr,23 800 AZN
Bakı,2006,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.4 L,60 a.g.,Benzin,107 000 km,Mexaniki,Ön,Xeyr,11 500 AZN
Bakı,2006,Kia,Rio,Qara,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,215 000 km,Mexaniki,Ön,Xeyr,11 000 AZN
Gəncə,2008,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,153 000 km,Mexaniki,Ön,Xeyr,11 900 AZN
Bakı,2015,Kia,Sorento,Ağ,Offroader / SUV,2.0 L,184 a.g.,Dizel,82 000 km,Avtomat,Ön,Xeyr,25 900 $
Sumqayıt,2021,Kia,K2700,Ağ,Yük maşını,2.7 L,130 a.g.,Dizel,0 km,Mexaniki,Arxa,Bəli,31 400 AZN
Bakı,2011,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,190 000 km,Avtomat,Ön,Xeyr,21 800 AZN
Bakı,2014,Kia,Ceed,Yaş Asfalt,Universal,1.6 L,128 a.g.,Dizel,143 000 km,Avtomat,Ön,Xeyr,24 500 AZN
Bakı,2008,Kia,Ceed,Qara,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,169 000 km,Mexaniki,Ön,Xeyr,12 800 AZN
Bakı,2007,Kia,Rio,Mavi,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,245 000 km,Mexaniki,Ön,Xeyr,11 000 AZN
Bakı,2020,Kia,K5,Qara,Sedan,1.6 L,181 a.g.,Benzin,12 300 km,Avtomat,Ön,Xeyr,28 300 $
Bakı,2008,Kia,Ceed,Qəhvəyi,Universal,1.6 L,122 a.g.,Benzin,200 000 km,Avtomat,Ön,Xeyr,15 900 AZN
Bakı,2011,Kia,Ceed,Yaş Asfalt,Universal,1.4 L,109 a.g.,Benzin,155 000 km,Mexaniki,Ön,Xeyr,15 900 AZN
Bakı,2008,Kia,Ceed,Yaş Asfalt,Universal,1.6 L,115 a.g.,Dizel,280 000 km,Mexaniki,Ön,Xeyr,13 700 AZN
Bakı,2015,Kia,Cerato,Qara,Sedan,1.6 L,132 a.g.,Dizel,118 000 km,Avtomat,Ön,Xeyr,21 900 AZN
Bakı,2010,Kia,Optima,Qırmızı,Sedan,2.0 L,274 a.g.,Benzin,108 631 km,Avtomat,Ön,Xeyr,19 000 AZN
Bakı,2014,Kia,Sorento,Yaş Asfalt,Offroader / SUV,2.0 L,184 a.g.,Dizel,78 200 km,Avtomat,Tam,Xeyr,38 900 AZN
Sumqayıt,2013,Kia,Cerato,Ağ,Sedan,1.6 L,132 a.g.,Benzin,135 000 km,Avtomat,Ön,Xeyr,21 300 AZN
Sumqayıt,1999,Kia,Clarus,Yaşıl,Sedan,2.0 L,150 a.g.,Benzin,123 245 km,Avtomat,Ön,Xeyr,4 700 AZN
Bakı,2014,Kia,Cerato,Yaş Asfalt,Hetçbek / Liftbek,2.0 L,150 a.g.,Benzin,98 000 km,Avtomat,Ön,Xeyr,16 900 AZN
Bakı,2005,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.5 L,109 a.g.,Dizel,213 000 km,Mexaniki,Ön,Xeyr,11 200 AZN
Bakı,2007,Kia,Ceed,Gümüşü,Hetçbek / Liftbek,1.4 L,109 a.g.,Benzin,239 000 km,Mexaniki,Ön,Xeyr,11 800 AZN
Bakı,2011,Kia,Cerato,Qara,Sedan,1.6 L,140 a.g.,Benzin,178 000 km,Avtomat,Ön,Xeyr,16 800 AZN
Bakı,2010,Kia,Rio,Ağ,Sedan,1.4 L,97 a.g.,Benzin,214 009 km,Avtomat,Ön,Xeyr,11 700 AZN
Bakı,2011,Kia,Sportage,Ağ,Offroader / SUV,2.0 L,163 a.g.,Benzin,155 850 km,Avtomat,Ön,Xeyr,25 800 AZN
Bakı,2019,Kia,Optima,Göy,Sedan,2.4 L,188 a.g.,Benzin,13 000 km,Avtomat,Ön,Xeyr,30 590 $
Gəncə,2005,Kia,Rio,Göy,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,182 400 km,Mexaniki,Ön,Xeyr,9 800 AZN
Bakı,2014,Kia,Optima,Qara,Sedan,2.0 L,274 a.g.,Benzin,115 873 km,Avtomat,Ön,Xeyr,29 900 AZN
Bakı,2012,Kia,Optima,Tünd qırmızı,Sedan,2.4 L,180 a.g.,Benzin,112 000 km,Avtomat,Ön,Xeyr,17 400 AZN
Bakı,2006,Kia,Rio,Gümüşü,Hetçbek / Liftbek,1.4 L,97 a.g.,Benzin,242 000 km,Mexaniki,Ön,Xeyr,10 600 AZN
Bakı,2013,Kia,Picanto,Bej,Hetçbek / Liftbek,1.0 L,75 a.g.,Benzin,135 000 km,Avtomat,Ön,Xeyr,14 200 AZN
Bakı,2016,Kia,Cerato,Yaş Asfalt,Sedan,1.6 L,121 a.g.,Dizel,46 000 km,Avtomat,Ön,Xeyr,26 500 AZN
